sample,genotype
CD0540d,msh.2
CD0541a,msh.2
CD0541c,msh.2
CD0541d,msh.2
CD0542a,msh.2
CD0542c,msh.2
CD0542d,msh.2
CD0543a,msh.2
CD0543c,msh.2
CD0543d,msh.2
CD0547a,msh.2
CD0547c,msh.2
CD0548a,msh.2
CD0548c,msh.2
CD0548d,msh.2
CD0549a,msh.2
CD0549c,msh.2
CD0549d,msh.2
CD0550a,msh.2
CD0551a,msh.2
CD0551c,msh.2
CD0551d,msh.2
CD0552a,msh.2
CD0552c,msh.2
CD0552d,msh.2
CD0553a,msh.2
CD0553d,msh.2
CD0554c,msh.2
CD0554d,msh.2
CD0555c,msh.2
CD0555d,msh.2
CD0556a,msh.2
CD0557c,msh.2
CD0558d,msh.2
CD0559a,msh.2
CD0559c,msh.2
CD0560a,msh.2
CD0560c,msh.2
CD0561c,msh.2
CD0562a,msh.2
CD0562d,msh.2
CD0563a,msh.2
CD0563c,msh.2
CD0563d,msh.2
CD0564a,msh.2
CD0564c,msh.2
CD0564d,msh.2
CD0565d,msh.2
CD0566a,msh.2
CD0566c,msh.2
CD0566d,msh.2
CD0567c,msh.2
CD0567d,msh.2
CD0568a,msh.2
CD0569a,msh.2
CD0569d,msh.2
CD0570a,msh.2
CD0570c,msh.2
CD0570d,msh.2
CD0571a,msh.2
CD0571c,msh.2
CD0571d,msh.2
CD0572a,msh.2
CD0572c,msh.2
CD0572d,msh.2
CD0573a,msh.2
CD0573c,msh.2
CD0573d,msh.2
CD0574d,msh.2
CD0575a,msh.2
CD0575c,msh.2
CD0575d,msh.2
CD0576a,msh.2
CD0576c,msh.2
CD0576d,msh.2
CD0577a,msh.2
CD0577d,msh.2
CD0578c,msh.2
CD0578d,msh.2
CD0579a,msh.2
CD0579c,msh.2
CD0579d,msh.2
CD0580a,msh.2
CD0580c,msh.2
CD0580d,msh.2
CD0581a,msh.2
CD0581c,msh.2
CD0581d,msh.2
CD0582a,msh.2
CD0582c,msh.2
CD0582d,msh.2
CD0584a,msh.2
CD0585a,msh.2
CD0585c,msh.2
CD0585d,msh.2
CD0586c,msh.2
